City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Vao,NC,2021-02-04 14:52:14,-22.6667,167.4833,78.42,87,2,21.07
97,Alta Floresta,BR,2021-02-04 14:50:35,-9.8756,-56.0861,84.24,79,62,2.68
98,Shihezi,CN,2021-02-04 14:52:14,44.3,86.0333,22.6,98,100,1.86
99,Margate,GB,2021-02-04 14:51:34,51.3813,1.3862,46.99,83,88,4.0
100,Keti Bandar,PK,2021-02-04 14:52:14,24.1447,67.4497,69.17,53,0,9.62
101,Sri Aman,MY,2021-02-04 14:52:15,1.2376,111.4621,73.4,100,99,0.04
102,Saint-Augustin,CA,2021-02-04 14:52:15,51.226,-58.6502,34.56,97,100,2.89
103,Kavieng,PG,2021-02-04 14:52:15,-2.5744,150.7967,82.54,74,100,7.38
104,Ahipara,NZ,2021-02-04 14:52:15,-35.1667,173.1667,59.81,88,7,5.01
105,Lavrentiya,RU,2021-02-04 14:52:15,65.5833,-171.0,-18.08,84,52,13.29
106,Ribeira Grande,PT,2021-02-04 14:50:08,38.5167,-28.7,55.4,58,40,16.11
107,Kruisfontein,ZA,2021-02-04 14:49:55,-34.0033,24.7314,79.0,60,81,7.0
108,Fare,PF,2021-02-04 14:52:16,-16.7,-151.0167,80.82,66,15,4.27
109,Dunedin,NZ,2021-02-04 14:52:16,-45.8742,170.5036,52.0,78,1,1.01
110,Poykovskiy,RU,2021-02-04 14:52:16,61.2333,73.3333,-2.2,84,0,8.95
111,Abu Kamal,SY,2021-02-04 14:52:16,34.4506,40.9171,58.59,73,100,7.61
112,Albany,US,2021-02-04 14:48:19,42.6001,-73.9662,30.99,59,5,13.0
113,Sherpur,BD,2021-02-04 14:52:17,25.0188,90.0175,68.7,44,0,5.48
114,Sao Joao Da Barra,BR,2021-02-04 14:52:17,-21.6403,-41.0511,89.6,48,20,4.61
115,Dosso,NE,2021-02-04 14:52:17,13.049,3.1937,96.03,9,22,13.51
116,Abapo,BO,2021-02-04 14:52:17,-18.8333,-63.4667,64.76,99,100,3.11
117,Aykhal,RU,2021-02-04 14:52:18,66.0,111.5,-28.26,83,100,5.75
118,Flinders,AU,2021-02-04 14:50:02,-34.5833,150.8552,72.0,82,61,1.01
119,Nalut,LY,2021-02-04 14:52:18,30.3333,10.85,73.22,21,100,9.86
120,Kavaratti,IN,2021-02-04 14:52:18,10.5669,72.642,82.13,65,64,5.21
121,Hualmay,PE,2021-02-04 14:52:18,-11.0964,-77.6139,74.46,63,90,5.46
122,Madimba,TZ,2021-02-04 14:52:19,-10.4,40.3333,86.0,74,40,17.27
123,Komsomolskiy,UZ,2021-02-04 14:52:19,40.4272,71.7189,42.8,49,4,4.61
124,Codrington,AU,2021-02-04 14:52:19,-38.2667,141.9667,68.65,50,100,11.74
125,Dingle,PH,2021-02-04 14:50:10,10.9995,122.6711,74.97,90,50,9.08
126,Leh,IN,2021-02-04 14:52:19,34.1667,77.5833,10.45,61,100,2.82
127,Bucsa,HU,2021-02-04 14:52:19,47.2,21.0,57.0,58,0,20.71
128,Ponta Do Sol,PT,2021-02-04 14:52:20,32.6667,-17.1,59.0,61,90,4.0
129,Praya,CV,2021-02-04 14:52:20,14.9215,-23.5087,73.4,64,90,21.85
130,Butaritari,KI,2021-02-04 14:52:20,3.0707,172.7902,80.33,84,100,14.9
131,Upernavik,GL,2021-02-04 14:52:20,72.7868,-56.1549,-9.87,72,100,3.85
132,Khatanga,RU,2021-02-04 14:52:20,71.9667,102.5,-31.16,80,0,10.04
133,Bethel,US,2021-02-04 14:52:20,41.3712,-73.414,33.01,59,1,11.5
134,Sitka,US,2021-02-04 14:52:21,57.0531,-135.33,35.6,100,90,6.91
135,Pevek,RU,2021-02-04 14:52:21,69.7008,170.3133,-13.5,79,0,11.86
136,San Quintin,MX,2021-02-04 14:52:21,30.4833,-115.95,56.32,87,100,10.33
137,Kodiak,US,2021-02-04 14:52:21,57.79,-152.4072,19.4,93,1,3.44
138,Thompson,CA,2021-02-04 14:52:21,55.7435,-97.8558,-11.2,77,90,12.66
139,Grand Baie,MU,2021-02-04 14:52:22,-20.0182,57.5802,82.0,74,2,5.01
